epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,372.391,1.13052,0.6097,0.0086,0.69344,0.63873,0.67629,0.39229,1.31529,1.18558,0.0099,0.000539275,0.000539275,0.000539275
43,380.842,1.10531,0.59489,0.00897,0.68093,0.65788,0.70536,0.40977,1.34083,1.16599,0.01005,0.000511769,0.000511769,0.000511769
44,389.13,1.16314,0.62201,0.00916,0.67934,0.61001,0.63903,0.37277,1.31043,1.35892,0.00993,0.000484263,0.000484263,0.000484263
45,397.203,1.11507,0.59848,0.00928,0.66192,0.61461,0.61409,0.3567,1.29085,1.31817,0.00965,0.000456758,0.000456758,0.000456758
46,405.74,1.09635,0.56432,0.00879,0.67507,0.61592,0.66522,0.39191,1.32308,1.23663,0.00984,0.000429253,0.000429253,0.000429253
47,413.455,1.06826,0.56058,0.00789,0.67737,0.62623,0.63504,0.37287,1.34948,1.30572,0.00992,0.000401747,0.000401747,0.000401747
48,422.044,1.11866,0.60781,0.00865,0.62775,0.67054,0.6114,0.35259,1.34702,1.36484,0.0103,0.000374242,0.000374242,0.000374242
49,430.576,1.11595,0.60215,0.00846,0.65438,0.64582,0.664,0.38293,1.36513,1.24095,0.01031,0.000346736,0.000346736,0.000346736
50,438.509,1.07544,0.55663,0.0083,0.68923,0.64939,0.69177,0.40469,1.37636,1.21889,0.01007,0.000319231,0.000319231,0.000319231
51,449.099,1.03413,0.47374,0.0101,0.71379,0.61715,0.67089,0.37892,1.41474,1.31304,0.01128,0.000291725,0.000291725,0.000291725
52,457.433,1.04771,0.49313,0.01013,0.67762,0.64131,0.63165,0.36429,1.36801,1.36838,0.01071,0.00026422,0.00026422,0.00026422
53,465.167,0.98311,0.42921,0.00935,0.63315,0.65303,0.64249,0.38195,1.3419,1.34911,0.01032,0.000236714,0.000236714,0.000236714
54,473.514,1.01965,0.44948,0.00944,0.73118,0.59092,0.65963,0.38544,1.35823,1.35585,0.01065,0.000209209,0.000209209,0.000209209
55,481.048,1.03483,0.48267,0.0091,0.64708,0.66355,0.66647,0.39593,1.33935,1.33375,0.01026,0.000181703,0.000181703,0.000181703
56,489.425,0.99144,0.4533,0.00868,0.65375,0.66376,0.67413,0.4021,1.36579,1.34769,0.01041,0.000154198,0.000154198,0.000154198
57,497.652,0.95408,0.39973,0.00922,0.65185,0.67085,0.68087,0.40378,1.38819,1.34938,0.01073,0.000126692,0.000126692,0.000126692
58,505.47,0.95777,0.41509,0.0085,0.64373,0.66885,0.68333,0.40232,1.38168,1.3436,0.01056,9.91865e-05,9.91865e-05,9.91865e-05
59,513.653,0.92416,0.39758,0.00908,0.66161,0.65834,0.67459,0.39958,1.35805,1.34488,0.01029,7.1681e-05,7.1681e-05,7.1681e-05
60,521.179,0.94667,0.39385,0.00861,0.6919,0.62804,0.6828,0.40403,1.35419,1.34755,0.01022,4.41755e-05,4.41755e-05,4.41755e-05
