epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.3981,1.60361,3.79659,0.0126,0.28322,0.35229,0.19288,0.09621,1.59799,3.60642,0.01173,0.00028339,0.00028339,0.00028339
2,42.3807,1.47305,2.48182,0.01262,0.42383,0.41,0.33381,0.17421,1.66738,2.63014,0.01366,0.000579599,0.000579599,0.000579599
3,50.2492,1.57965,2.00414,0.01362,0.5699,0.42861,0.44494,0.22741,1.58247,2.05848,0.0127,0.000871848,0.000871848,0.000871848
4,58.4618,1.5608,1.61174,0.01302,0.48179,0.54498,0.47011,0.22982,1.57824,1.69811,0.01231,0.00116014,0.00116014,0.00116014
5,65.8106,1.54715,1.52613,0.01361,0.53232,0.52736,0.47649,0.24693,1.63815,1.57287,0.01344,0.00144446,0.00144446,0.00144446
6,74.2587,1.5927,1.47449,0.01357,0.56784,0.48107,0.45194,0.23191,1.64084,1.71109,0.01403,0.00161199,0.00161199,0.00161199
7,82.1036,1.52586,1.34031,0.0127,0.53284,0.49166,0.45919,0.22752,1.67835,1.71964,0.01386,0.00160099,0.00160099,0.00160099
8,89.7527,1.56731,1.25523,0.01329,0.60567,0.54404,0.5486,0.28193,1.6877,1.65452,0.01474,0.00158998,0.00158998,0.00158998
9,97.832,1.51366,1.2263,0.01339,0.65122,0.46699,0.50114,0.26215,1.6239,1.5973,0.01418,0.00157898,0.00157898,0.00157898
10,105.149,1.472,1.20211,0.01236,0.54136,0.52007,0.52097,0.28031,1.59417,1.67262,0.01385,0.00156798,0.00156798,0.00156798
11,113.367,1.48958,1.18321,0.01399,0.69203,0.50615,0.58017,0.30865,1.54453,1.57842,0.01209,0.00155698,0.00155698,0.00155698
12,121.383,1.47925,1.15567,0.01193,0.61203,0.50626,0.54744,0.28666,1.64108,1.62979,0.01349,0.00154598,0.00154598,0.00154598
13,129.265,1.47137,1.04871,0.01171,0.4949,0.57342,0.47244,0.24258,1.58853,1.64707,0.01253,0.00153497,0.00153497,0.00153497
14,137.401,1.44429,1.08644,0.01208,0.59691,0.57347,0.58402,0.30917,1.56858,1.73324,0.01317,0.00152397,0.00152397,0.00152397
15,144.984,1.54017,1.08545,0.01302,0.60052,0.54227,0.54619,0.29196,1.53666,1.51538,0.01192,0.00151297,0.00151297,0.00151297
16,153.308,1.46781,1.06119,0.01177,0.70249,0.53559,0.60248,0.30449,1.53808,1.39216,0.01179,0.00150197,0.00150197,0.00150197
17,161.221,1.43218,1.04385,0.01182,0.6054,0.5385,0.56881,0.28636,1.51073,1.40577,0.01205,0.00149096,0.00149096,0.00149096
18,168.889,1.41506,0.98024,0.01143,0.60159,0.633,0.60949,0.31771,1.57099,1.17359,0.0129,0.00147996,0.00147996,0.00147996
19,176.996,1.4184,0.93265,0.01068,0.63987,0.54947,0.59146,0.32344,1.48227,1.36503,0.01154,0.00146896,0.00146896,0.00146896
20,184.495,1.39897,0.9441,0.0118,0.75117,0.56735,0.6684,0.35498,1.54224,1.24854,0.01223,0.00145796,0.00145796,0.00145796
21,192.844,1.4054,0.93026,0.01208,0.68611,0.55419,0.60483,0.31481,1.50617,1.42526,0.01205,0.00144696,0.00144696,0.00144696
22,200.917,1.40855,0.94486,0.01118,0.64015,0.55492,0.57798,0.31746,1.53364,1.32882,0.01159,0.00143595,0.00143595,0.00143595
23,208.65,1.37962,0.91174,0.01144,0.61014,0.59782,0.61204,0.33069,1.53261,1.36912,0.01273,0.00142495,0.00142495,0.00142495
24,216.826,1.42218,0.88446,0.01123,0.62483,0.58827,0.55581,0.31174,1.53312,1.40552,0.01273,0.00141395,0.00141395,0.00141395
25,224.22,1.35654,0.89363,0.01166,0.64325,0.6376,0.64446,0.3463,1.48998,1.32357,0.01133,0.00140295,0.00140295,0.00140295
26,232.448,1.356,0.8933,0.01033,0.64985,0.5772,0.60303,0.33644,1.40285,1.44296,0.01079,0.00139195,0.00139195,0.00139195
27,240.639,1.33738,0.87018,0.01109,0.75202,0.56128,0.62235,0.3157,1.55696,1.37016,0.01251,0.00138094,0.00138094,0.00138094
28,248.314,1.34205,0.85454,0.01148,0.65858,0.58847,0.62487,0.35153,1.52138,1.16592,0.01213,0.00136994,0.00136994,0.00136994
29,256.422,1.34659,0.87337,0.01212,0.71105,0.60626,0.6564,0.35827,1.52547,1.24462,0.01278,0.00135894,0.00135894,0.00135894
30,263.84,1.33468,0.86027,0.01078,0.59711,0.59967,0.60096,0.33012,1.49237,1.33802,0.0122,0.00134794,0.00134794,0.00134794
31,271.975,1.36408,0.82934,0.01098,0.64951,0.58483,0.60206,0.34074,1.40177,1.36195,0.01088,0.00133693,0.00133693,0.00133693
32,279.638,1.36039,0.83054,0.01113,0.67691,0.58869,0.60177,0.33132,1.50396,1.33688,0.0117,0.00132593,0.00132593,0.00132593
33,287.57,1.32927,0.83327,0.01145,0.69144,0.63103,0.66086,0.38913,1.41228,1.25348,0.01107,0.00131493,0.00131493,0.00131493
34,295.895,1.26319,0.79057,0.01064,0.65874,0.60219,0.62454,0.35685,1.45969,1.13848,0.01192,0.00130393,0.00130393,0.00130393
35,303.399,1.26926,0.77944,0.01174,0.70525,0.56413,0.61417,0.35372,1.46051,1.23447,0.01169,0.00129293,0.00129293,0.00129293
