epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.7908,1.60361,3.79659,0.0126,0.28322,0.35229,0.19288,0.09621,1.59799,3.60642,0.01173,0.00028339,0.00028339,0.00028339
2,42.0947,1.46453,2.48158,0.01252,0.43423,0.3969,0.35143,0.18959,1.57659,2.7217,0.01185,0.000577674,0.000577674,0.000577674
3,49.7908,1.5924,1.96126,0.0137,0.46898,0.41583,0.39248,0.21226,1.54315,2.13453,0.01311,0.000866017,0.000866017,0.000866017
4,57.6025,1.55278,1.57815,0.01295,0.40222,0.43168,0.32887,0.17007,1.63401,2.18355,0.01373,0.00114842,0.00114842,0.00114842
5,65.4734,1.53692,1.47229,0.01359,0.56733,0.50292,0.46592,0.22459,1.69295,1.7163,0.01518,0.00142488,0.00142488,0.00142488
6,72.506,1.56627,1.40428,0.01335,0.5323,0.4491,0.40517,0.21396,1.61315,2.01522,0.01367,0.00158448,0.00158448,0.00158448
7,80.3146,1.49618,1.3178,0.01253,0.56164,0.47793,0.48868,0.24332,1.63984,1.75091,0.01502,0.00156798,0.00156798,0.00156798
8,87.4307,1.53175,1.26136,0.01272,0.57389,0.59181,0.52445,0.26169,1.62831,1.52977,0.01469,0.00155148,0.00155148,0.00155148
9,95.3303,1.51703,1.24276,0.01351,0.57679,0.51314,0.54196,0.28814,1.56325,1.63518,0.01323,0.00153497,0.00153497,0.00153497
10,102.821,1.49636,1.16352,0.01273,0.54399,0.42808,0.44267,0.22005,1.53407,2.4589,0.01259,0.00151847,0.00151847,0.00151847
11,110.473,1.49914,1.14752,0.01406,0.56973,0.63174,0.58282,0.3018,1.50782,1.49611,0.01204,0.00150197,0.00150197,0.00150197
12,118.493,1.49264,1.19318,0.01212,0.55718,0.54263,0.54425,0.25984,1.61653,1.43889,0.01377,0.00148546,0.00148546,0.00148546
13,125.668,1.49936,1.09804,0.01192,0.55213,0.58528,0.53164,0.27239,1.61517,1.53135,0.01411,0.00146896,0.00146896,0.00146896
14,133.414,1.49221,1.10446,0.01261,0.70514,0.53696,0.59354,0.31282,1.55387,1.47159,0.01239,0.00145246,0.00145246,0.00145246
15,140.704,1.54041,1.11403,0.01299,0.68861,0.49659,0.54796,0.27959,1.58537,1.53094,0.0122,0.00143595,0.00143595,0.00143595
16,148.701,1.44259,1.03928,0.01145,0.65671,0.56644,0.60564,0.32042,1.66681,1.33518,0.01392,0.00141945,0.00141945,0.00141945
17,156.599,1.46741,1.07362,0.01226,0.52957,0.55296,0.52419,0.28696,1.50952,1.46608,0.01273,0.00140295,0.00140295,0.00140295
18,164.132,1.41424,0.96579,0.01136,0.5691,0.60137,0.60827,0.31903,1.54144,1.48447,0.01249,0.00138644,0.00138644,0.00138644
19,171.991,1.43841,0.93935,0.011,0.62877,0.60652,0.61307,0.34042,1.52129,1.34593,0.01163,0.00136994,0.00136994,0.00136994
20,179.353,1.40718,0.99236,0.01189,0.59204,0.66122,0.61952,0.32619,1.57912,1.35794,0.0133,0.00135344,0.00135344,0.00135344
21,187.387,1.44295,0.93638,0.01244,0.62024,0.5137,0.51179,0.28229,1.50499,1.6323,0.0119,0.00133693,0.00133693,0.00133693
22,195.27,1.4293,0.94902,0.01136,0.62556,0.54232,0.60397,0.30702,1.66476,1.4887,0.01314,0.00132043,0.00132043,0.00132043
23,202.897,1.3869,0.89339,0.01142,0.63479,0.61381,0.59903,0.31377,1.50258,1.33273,0.01219,0.00130393,0.00130393,0.00130393
24,210.731,1.41333,0.89469,0.01107,0.67025,0.57768,0.58549,0.3248,1.4307,1.29857,0.0109,0.00128742,0.00128742,0.00128742
25,217.947,1.3737,0.86848,0.01186,0.67566,0.5648,0.59859,0.31495,1.55197,1.29102,0.01222,0.00127092,0.00127092,0.00127092
26,225.941,1.35227,0.86314,0.01027,0.62638,0.55402,0.5763,0.30369,1.46782,1.35193,0.01198,0.00125442,0.00125442,0.00125442
27,233.428,1.34589,0.86789,0.01097,0.63531,0.64042,0.63903,0.34805,1.47669,1.3752,0.01144,0.00123791,0.00123791,0.00123791
28,241.273,1.31656,0.85787,0.01117,0.6574,0.60601,0.64961,0.35765,1.52848,1.26962,0.01258,0.00122141,0.00122141,0.00122141
29,249.357,1.32854,0.8533,0.0119,0.65815,0.62774,0.65447,0.37434,1.41893,1.25428,0.01123,0.00120491,0.00120491,0.00120491
30,256.698,1.31252,0.78973,0.01058,0.60893,0.66235,0.62903,0.33934,1.48481,1.26203,0.01173,0.0011884,0.0011884,0.0011884
31,264.534,1.33897,0.80014,0.01066,0.60905,0.62581,0.60277,0.33131,1.48551,1.4317,0.01134,0.0011719,0.0011719,0.0011719
32,271.814,1.35154,0.80257,0.01098,0.68504,0.61455,0.63883,0.34791,1.43501,1.4479,0.01115,0.0011554,0.0011554,0.0011554
33,279.79,1.32452,0.79181,0.01158,0.68798,0.62588,0.65584,0.36226,1.5434,1.38955,0.01193,0.00113889,0.00113889,0.00113889
34,287.705,1.26468,0.76232,0.01074,0.71381,0.58241,0.63681,0.36188,1.46388,1.23779,0.01099,0.00112239,0.00112239,0.00112239
35,295.115,1.24082,0.73975,0.01132,0.62931,0.59228,0.57304,0.31974,1.46608,1.33171,0.01126,0.00110589,0.00110589,0.00110589
36,303.024,1.3061,0.76934,0.01063,0.67383,0.58878,0.64525,0.35066,1.50402,1.18611,0.01139,0.00108938,0.00108938,0.00108938
37,310.163,1.26523,0.79789,0.01054,0.64053,0.62463,0.65415,0.36354,1.46765,1.25064,0.01104,0.00107288,0.00107288,0.00107288
38,318.363,1.27928,0.76125,0.01078,0.66773,0.66801,0.65461,0.35719,1.55595,1.21955,0.01264,0.00105638,0.00105638,0.00105638
39,326.121,1.25936,0.75778,0.01007,0.66623,0.6282,0.65125,0.36625,1.44477,1.20238,0.01124,0.00103987,0.00103987,0.00103987
40,333.818,1.22947,0.72738,0.00974,0.68867,0.58902,0.56994,0.31011,1.43318,1.27506,0.01085,0.00102337,0.00102337,0.00102337
41,342.028,1.23688,0.72566,0.00964,0.70525,0.62844,0.65677,0.35362,1.44344,1.14265,0.01111,0.00100687,0.00100687,0.00100687
42,349.328,1.20911,0.67082,0.00942,0.72459,0.6021,0.65561,0.35645,1.40847,1.23436,0.01041,0.000990365,0.000990365,0.000990365
43,357.508,1.18739,0.66149,0.00999,0.66447,0.6136,0.60799,0.33067,1.43853,1.30511,0.01086,0.000973861,0.000973861,0.000973861
44,365.207,1.2476,0.727,0.01001,0.63876,0.64438,0.62423,0.35379,1.45931,1.246,0.01113,0.000957358,0.000957358,0.000957358
45,372.828,1.21157,0.66684,0.01031,0.61014,0.69867,0.6664,0.36802,1.43492,1.39551,0.01082,0.000940855,0.000940855,0.000940855
46,380.782,1.19228,0.66621,0.00982,0.66482,0.61728,0.61661,0.33212,1.44597,1.33172,0.01092,0.000924352,0.000924352,0.000924352
47,388.039,1.18716,0.64066,0.00925,0.70427,0.57454,0.62058,0.34726,1.43439,1.35875,0.0107,0.000907848,0.000907848,0.000907848
48,396.17,1.20268,0.69637,0.00946,0.67118,0.65624,0.64925,0.36961,1.41298,1.17191,0.0104,0.000891345,0.000891345,0.000891345
49,403.589,1.19668,0.69153,0.00936,0.64231,0.63517,0.65319,0.36376,1.38554,1.27565,0.01022,0.000874842,0.000874842,0.000874842
50,411.428,1.15812,0.62946,0.00907,0.62646,0.63483,0.61666,0.34366,1.41135,1.32543,0.01058,0.000858338,0.000858338,0.000858338
51,419.54,1.10663,0.61941,0.00949,0.63967,0.66313,0.63676,0.35288,1.40685,1.21877,0.00999,0.000841835,0.000841835,0.000841835
52,426.779,1.14215,0.63525,0.00875,0.69762,0.62458,0.62937,0.35195,1.38792,1.33148,0.0101,0.000825332,0.000825332,0.000825332
53,434.647,1.16181,0.64773,0.00991,0.68273,0.66002,0.6564,0.3498,1.48461,1.36183,0.01098,0.000808828,0.000808828,0.000808828
54,441.969,1.18703,0.65173,0.00956,0.64963,0.61304,0.592,0.3407,1.4624,1.38753,0.01147,0.000792325,0.000792325,0.000792325
